,open,close,high,low,volume,money
2005-04-08 10:00:00,984.66,984.0,988.45,981.56,199520000.0,1334718162.0
2005-04-08 10:30:00,983.93,983.36,984.07,979.55,142010000.0,920502528.0
2005-04-08 11:00:00,983.49,988.07,991.6,983.26,174690000.0,1152271616.0
2005-04-08 11:30:00,988.04,986.72,988.2,984.7,113380000.0,742727680.0
2005-04-08 13:30:00,986.57,994.65,994.94,986.57,141470000.0,824339456.0
2005-04-08 14:00:00,994.65,992.86,994.65,991.01,138140000.0,969244160.0
2005-04-08 14:30:00,992.85,996.22,998.45,992.85,203600000.0,1217317888.0
2005-04-08 15:00:00,996.46,1003.45,1003.6,994.97,352950000.0,1995086336.0
2005-04-11 10:00:00,1003.87,998.92,1003.87,995.86,275080000.0,2135487680.0
2005-04-11 10:30:00,998.85,1002.36,1002.36,993.74,223650000.0,1365775616.0
2005-04-11 11:00:00,1002.45,1006.47,1006.59,1000.87,213200000.0,1313662208.0
2005-04-11 11:30:00,1006.45,1001.31,1008.66,1001.31,236960000.0,1608243200.0
2005-04-11 13:30:00,1002.321,996.4,1002.321,992.84,168730000.0,1275383808.0
2005-04-11 14:00:00,996.33,994.7,997.93,994.35,135150000.0,955564544.0
2005-04-11 14:30:00,994.78,997.28,997.28,993.82,122490000.0,850082304.0
2005-04-11 15:00:00,997.37,995.42,1000.51,994.14,208970000.0,1280886784.0
2005-04-12 10:00:00,993.71,989.27,993.71,988.52,151080000.0,985686305.0
2005-04-12 10:30:00,989.23,990.56,991.27,987.95,141480000.0,856857728.0
2005-04-12 11:00:00,990.5,984.25,990.82,984.25,158380000.0,1040007168.0
2005-04-12 11:30:00,984.1,982.15,985.22,982.11,101760000.0,687337728.0
2005-04-12 13:30:00,982.525,985.31,985.58,982.02,77290000.0,538991360.0
2005-04-12 14:00:00,985.41,985.33,985.84,982.6,88070000.0,580068096.0
2005-04-12 14:30:00,985.33,984.6,987.64,984.14,104930000.0,689932288.0
2005-04-12 15:00:00,984.49,978.7,984.58,978.24,188260000.0,1136651264.0
2005-04-13 10:00:00,987.95,994.27,1003.65,987.95,290810000.0,2042942732.0
2005-04-13 10:30:00,994.55,1002.17,1006.44,994.55,286500000.0,1791357312.0
2005-04-13 11:00:00,1002.3,1000.76,1003.67,999.5,169650000.0,1124403968.0
2005-04-13 11:30:00,1000.93,1004.96,1005.02,1000.75,174180000.0,970433536.0
2005-04-13 13:30:00,1004.037,1005.12,1005.78,1002.92,176860000.0,1127127040.0
2005-04-13 14:00:00,1005.21,995.18,1005.38,994.0,186550000.0,1222143488.0
