date,etf1_position,etf2_position,total_position,cash,calculate_returns_etf1,calculate_returns_etf2
2019-01-18,0,0,0,1000000.0,-0.047021943573667756,-0.4924165824064712
2019-01-21,0,0,0,1000000.0,-0.049766718506998486,-0.4898373983739837
2019-01-22,0,0,0,1000000.0,-0.03766025641025635,-0.5054401582591493
2019-01-23,0,0,0,1000000.0,-0.03467741935483865,-0.4969939879759519
2019-01-24,0,0,0,1000000.0,-0.01704545454545447,-0.4830421377183967
2019-01-25,0,0,0,1000000.0,0.004135649296939531,-0.4836734693877551
2019-01-28,0,0,0,1000000.0,-0.009023789991796653,-0.474558670820353
2019-01-29,827814,0,827814,2484.1299999998882,-0.017312448474855836,-0.470281543274244
2019-01-30,829898,0,829898,18.757999999887943,-0.03507340946166389,-0.46356916578669477
2019-01-31,829913,0,829913,1.012999999887942,-0.03204601479046848,-0.46194503171247353
2019-02-01,0,0,0,980958.1789999999,0.00825763831544179,-0.4633891213389121
2019-02-11,0,0,0,980958.1789999999,0.06040268456375845,-0.4484590860786397
2019-02-12,776074,0,776074,1552.790999999852,0.07035175879396992,-0.4451544195953141
2019-02-13,776074,0,776074,1552.790999999852,0.10441426146010187,-0.4319654427645788
2019-02-14,777267,0,777267,1.8909999998518288,0.12027491408934719,-0.4238773274917853
2019-02-15,777268,0,777268,0.5899999998518288,0.08953974895397487,-0.4310915104740904
2019-02-18,777268,0,777268,0.5899999998518288,0.11779242174629326,-0.4284164859002169
2019-02-19,777268,0,777268,0.5899999998518288,0.11147811725846409,-0.43073593073593075
2019-02-20,777268,0,777268,0.5899999998518288,0.11404958677685961,-0.4339419978517723
2019-02-21,777268,0,777268,0.5899999998518288,0.12261806130903057,-0.4333694474539545
2019-02-22,777268,0,777268,0.5899999998518288,0.16294458229942088,-0.43042071197411
2019-02-25,777268,0,777268,0.5899999998518288,0.2485355648535564,-0.4066882416396979
2019-02-26,777268,0,777268,0.5899999998518288,0.2162828947368422,-0.4195953141640042
2019-02-27,777268,0,777268,0.5899999998518288,0.20098846787479407,-0.41353383458646614
2019-02-28,777268,0,777268,0.5899999998518288,0.22704507512520872,-0.42189160467587666
2019-03-01,777268,0,777268,0.5899999998518288,0.2335526315789474,0.09561752988047817
2019-03-04,777268,0,777268,0.5899999998518288,0.27332242225859255,0.11155378486055786
2019-03-05,777268,0,777268,0.5899999998518288,0.3447127393838467,0.1279999999999999
2019-03-06,777268,0,777268,0.5899999998518288,0.36591478696741847,0.13147410358565725
2019-03-07,777268,0,777268,0.5899999998518288,0.33856317093311306,0.12326043737574542
2019-03-08,777268,0,777268,0.5899999998518288,0.30477759472817145,0.07509881422924908
2019-03-11,777268,0,777268,0.5899999998518288,0.3725165562913907,0.08300395256917004
2019-03-12,777268,0,777268,0.5899999998518288,0.4228187919463087,0.0964566929133859
2019-03-13,777268,0,777268,0.5899999998518288,0.36770921386306005,0.09251968503937016
2019-03-14,777268,0,777268,0.5899999998518288,0.3438030560271647,0.0785854616895875
2019-03-15,777268,0,777268,0.5899999998518288,0.3013923013923013,0.08966861598440554
2019-03-18,777268,0,777268,0.5899999998518288,0.29272151898734167,0.1098265895953756
2019-03-19,777268,0,777268,0.5899999998518288,0.27777777777777773,0.10364683301343558
2019-03-20,777268,0,777268,0.5899999998518288,0.2398155265180631,0.09695817490494284
2019-03-21,777268,0,777268,0.5899999998518288,0.24769938650306744,0.09505703422053219
2019-03-22,777268,0,777268,0.5899999998518288,0.24500768049155142,0.12209302325581384
2019-03-25,777268,0,777268,0.5899999998518288,0.17759764185703766,0.0910815939278936
2019-03-26,777268,0,777268,0.5899999998518288,0.15601783060921245,0.07794676806083636
2019-03-27,777268,0,777268,0.5899999998518288,0.16320474777448069,0.08728652751423137
2019-03-28,777268,0,777268,0.5899999998518288,0.148339483394834,0.08986615678776277
2019-03-29,777268,0,777268,0.5899999998518288,0.15504978662873414,0.10795454545454533
2019-04-01,777268,0,777268,0.5899999998518288,0.13538873994638068,0.08363636363636351
2019-04-02,777268,0,777268,0.5899999998518288,0.13725490196078421,0.09357798165137601
2019-04-03,777268,0,777268,0.5899999998518288,0.16598079561042525,0.10439560439560427
2019-04-04,777268,0,777268,0.5899999998518288,0.15714285714285722,0.1249999999999999
2019-04-08,777268,0,777268,0.5899999998518288,0.11000000000000003,0.11272727272727262
2019-04-09,0,2114627,2114627,125.82300000009127,0.07133676092544985,0.09856630824372747
2019-04-10,0,2114832,2114832,0.9780000000912707,0.024148606811145463,0.09219858156028378
2019-04-11,0,2114833,2114833,0.36200000009127076,-0.009785932721712546,0.07042253521126768
2019-04-12,0,2114833,2114833,0.36200000009127076,0.0018507094386182072,0.07079646017699122
2019-04-15,0,2114833,2114833,0.36200000009127076,0.007575757575757582,0.11213235294117636
2019-04-16,0,2114833,2114833,0.36200000009127076,-0.017490952955367862,0.11313868613138675
2019-04-17,0,2114833,2114833,0.36200000009127076,-0.03183962264150946,0.10053859964093345
2019-04-18,0,2114833,2114833,0.36200000009127076,0.0067985166872681696,0.09369369369369357
2019-04-19,0,2114833,2114833,0.36200000009127076,0.03916614024005057,0.11293260473588332
2019-04-22,0,2114833,2114833,0.36200000009127076,0.022026431718061765,0.06618962432915906
2019-04-23,0,2114833,2114833,0.36200000009127076,-0.014687882496939902,0.02430555555555558
2019-04-24,0,2114833,2114833,0.36200000009127076,0.00796080832823019,0.03130434782608699
2019-04-25,0,2114833,2114833,0.36200000009127076,-0.00929944203347793,0.0
2019-04-26,0,2114833,2114833,0.36200000009127076,-0.023355869698832226,-0.010416666666666676
