,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
487,sz399668,创业板V,3824.191,21.826,0.574,3802.365,3800.134,3831.29,3792.116,1761292961,34830174772
488,sz399669,深证农业,12654.007,460.99,3.781,12193.017,12112.439,12677.621,12112.439,2117068610,44205742108
489,sz399670,深周期50,4823.679,24.307,0.506,4799.372,4813.144,4838.904,4800.276,1904124464,54725289654
490,sz399671,深防御50,9868.067,216.923,2.248,9651.144,9603.341,9883.419,9603.341,1456808377,46434544190
491,sz399672,深红利50,4415.074,34.487,0.787,4380.587,4370.045,4418.054,4360.152,1101959141,22039860893
492,sz399673,创业板50,3334.374,16.615,0.501,3317.759,3342.172,3359.948,3314.028,931851105,53419061565
493,sz399674,深A医药,2944.054,42.992,1.482,2901.062,2904.092,2950.547,2901.939,1335379507,33777143077
494,sz399675,深互联网,2904.194,26.994,0.938,2877.2,2874.187,2904.632,2869.58,2234340285,28732588969
495,sz399676,深医药EW,3359.955,26.147,0.784,3333.808,3334.334,3363.314,3329.335,1335379507,33777143077
496,sz399677,深互联EW,3531.176,29.685,0.848,3501.491,3492.301,3531.774,3486.673,2234340285,28732588969
497,sz399678,深次新股,967.515,5.3,0.551,962.215,963.469,967.515,960.935,441737453,13191497320
498,sz399679,深证200R,5920.571,48.342,0.823,5872.229,5873.896,5922.602,5870.718,5199107357,78435874289
499,sz399680,深成能源,980.888,-2.573,-0.262,983.461,988.868,1004.766,971.497,482187879,5375833311
500,sz399681,深成材料,1594.287,11.818,0.747,1582.469,1579.072,1595.413,1573.046,3113563843,47385254762
501,sz399682,深成工业,2177.088,0.022,0.001,2177.066,2188.74,2201.041,2167.795,1671581059,45046836040
502,sz399683,深成可选,1840.479,6.038,0.329,1834.441,1832.306,1848.42,1832.137,927493932,17674680378
503,sz399684,深成消费,3179.844,105.114,3.419,3074.73,3049.86,3186.85,3049.86,1814355760,40798471884
504,sz399685,深成医药,3066.434,48.747,1.615,3017.687,3021.79,3074.235,3019.402,623240086,25466975127
505,sz399686,深成金融,2292.117,15.673,0.688,2276.444,2270.448,2305.177,2270.448,885603623,12924258642
506,sz399687,深成信息,3273.21,38.981,1.205,3234.229,3241.229,3277.545,3236.683,2798010843,57231455193
507,sz399688,深成电信,1591.939,11.694,0.74,1580.245,1575.962,1597.381,1575.951,151655981,3631874834
508,sz399689,深成公用,1069.762,-1.677,-0.157,1071.439,1065.97,1079.183,1051.069,585168675,4317642769
509,sz399690,中小专利,2536.718,38.188,1.528,2498.53,2495.564,2541.336,2493.906,731273654,18054365562
