,open,close,low,high,volume,money,factor,pre_close
2006-06-01 09:31:00,1076.79,1077.16,1076.21,1077.52,14361700.0,1546047108830.0,1.0,1078.86
2006-06-01 09:32:00,1076.72,1076.29,1076.02,1077.4,4897200.0,76531592.0,1.0,1077.16
2006-06-01 09:33:00,1076.22,1074.78,1074.78,1076.28,7530700.0,28423784.0,1.0,1076.29
2006-06-01 09:34:00,1074.66,1074.49,1073.84,1074.66,6584900.0,40042896.0,1.0,1074.78
2006-06-01 09:35:00,1074.19,1074.37,1073.83,1074.61,6542200.0,37045440.0,1.0,1074.49
2006-06-01 09:36:00,1074.63,1074.7,1074.17,1074.87,7728900.0,38070240.0,1.0,1074.37
2006-06-01 09:37:00,1074.68,1076.41,1074.68,1076.41,9352700.0,43378576.0,1.0,1074.7
2006-06-01 09:38:00,1076.72,1077.93,1076.53,1078.16,9382300.0,53479536.0,1.0,1076.41
2006-06-01 09:39:00,1077.82,1080.22,1077.82,1080.22,8905300.0,53417376.0,1.0,1077.93
2006-06-01 09:40:00,1079.86,1080.51,1079.86,1080.92,11301300.0,49321856.0,1.0,1080.22
2006-06-01 09:41:00,1080.99,1081.76,1080.97,1082.22,9785400.0,56259040.0,1.0,1080.51
2006-06-01 09:42:00,1082.09,1083.49,1082.09,1083.49,9363400.0,51200320.0,1.0,1081.76
2006-06-01 09:43:00,1083.59,1084.3,1083.38,1084.58,7838100.0,50202912.0,1.0,1083.49
2006-06-01 09:44:00,1084.45,1085.14,1084.45,1085.66,6922500.0,41535232.0,1.0,1084.3
2006-06-01 09:45:00,1085.49,1084.97,1084.73,1085.49,7153900.0,41360960.0,1.0,1085.14
2006-06-01 09:46:00,1085.03,1085.44,1085.01,1085.72,6793500.0,43662528.0,1.0,1084.97
2006-06-01 09:47:00,1085.35,1084.95,1084.74,1085.64,6866500.0,37668864.0,1.0,1085.44
2006-06-01 09:48:00,1084.9,1084.26,1083.87,1084.9,6301000.0,42442752.0,1.0,1084.95
2006-06-01 09:49:00,1084.46,1082.89,1082.82,1084.46,8764400.0,37695808.0,1.0,1084.26
2006-06-01 09:50:00,1082.23,1081.91,1081.91,1082.79,6126800.0,62714240.0,1.0,1082.89
2006-06-01 09:51:00,1082.01,1081.32,1080.96,1082.31,4884400.0,43921152.0,1.0,1081.91
2006-06-01 09:52:00,1080.78,1080.82,1080.78,1081.44,5018000.0,31279488.0,1.0,1081.32
2006-06-01 09:53:00,1081.16,1081.36,1080.7,1081.36,7182900.0,31938368.0,1.0,1080.82
2006-06-01 09:54:00,1081.51,1081.3,1081.04,1081.6,3884600.0,39288384.0,1.0,1081.36
2006-06-01 09:55:00,1081.38,1081.16,1081.16,1081.59,5059400.0,28499648.0,1.0,1081.3
2006-06-01 09:56:00,1081.49,1081.47,1081.08,1081.9,4394000.0,30821632.0,1.0,1081.16
2006-06-01 09:57:00,1081.8,1081.96,1081.53,1082.16,5547400.0,25829632.0,1.0,1081.47
2006-06-01 09:58:00,1082.17,1082.19,1081.76,1082.47,5035300.0,30515200.0,1.0,1081.96
2006-06-01 09:59:00,1082.32,1083.15,1082.32,1083.27,5629800.0,30245120.0,1.0,1082.19
2006-06-01 10:00:00,1083.79,1084.16,1083.35,1084.16,6788400.0,30489728.0,1.0,1083.15
2006-06-01 10:01:00,1084.35,1085.01,1084.35,1085.27,7218700.0,38070144.0,1.0,1084.16
2006-06-01 10:02:00,1085.31,1086.31,1085.31,1086.35,9456600.0,40001408.0,1.0,1085.01
2006-06-01 10:03:00,1086.62,1088.25,1086.53,1088.25,8874900.0,45834368.0,1.0,1086.31
2006-06-01 10:04:00,1088.61,1089.71,1088.33,1089.91,7695800.0,45715328.0,1.0,1088.25
2006-06-01 10:05:00,1089.72,1090.39,1089.68,1090.39,9434600.0,43081088.0,1.0,1089.71
2006-06-01 10:06:00,1090.63,1090.71,1090.35,1090.92,8494200.0,53477504.0,1.0,1090.39
2006-06-01 10:07:00,1090.85,1090.06,1090.06,1090.85,10790600.0,46664320.0,1.0,1090.71
2006-06-01 10:08:00,1090.28,1089.78,1089.69,1090.28,6204100.0,54946048.0,1.0,1090.06
2006-06-01 10:09:00,1089.47,1089.2,1089.2,1089.6,8401900.0,34073088.0,1.0,1089.78
2006-06-01 10:10:00,1088.91,1088.76,1088.76,1089.47,6516400.0,48232192.0,1.0,1089.2
2006-06-01 10:11:00,1088.64,1088.06,1087.9,1088.64,6607700.0,36182016.0,1.0,1088.76
2006-06-01 10:12:00,1087.8,1087.75,1087.31,1087.89,4130900.0,35099392.0,1.0,1088.06
2006-06-01 10:13:00,1087.51,1087.91,1087.39,1088.03,4596600.0,23476480.0,1.0,1087.75
2006-06-01 10:14:00,1087.95,1088.11,1087.41,1088.11,6653800.0,28364544.0,1.0,1087.91
2006-06-01 10:15:00,1088.31,1088.78,1087.66,1088.78,5825100.0,42491264.0,1.0,1088.11
2006-06-01 10:16:00,1088.44,1089.11,1088.4,1089.27,5330200.0,36904448.0,1.0,1088.78
2006-06-01 10:17:00,1089.46,1089.64,1089.13,1089.64,6848200.0,34630784.0,1.0,1089.11
2006-06-01 10:18:00,1089.7,1089.67,1089.47,1089.73,5548700.0,41208704.0,1.0,1089.64
2006-06-01 10:19:00,1089.51,1089.16,1088.63,1089.92,7914100.0,39791488.0,1.0,1089.67
2006-06-01 10:20:00,1089.31,1088.6,1088.55,1089.31,7589600.0,47951104.0,1.0,1089.16
2006-06-01 10:21:00,1088.87,1088.29,1088.12,1088.87,5461800.0,47501824.0,1.0,1088.6
2006-06-01 10:22:00,1088.55,1087.62,1087.36,1088.55,6989500.0,36828160.0,1.0,1088.29
2006-06-01 10:23:00,1087.84,1087.57,1087.16,1087.84,4925200.0,48088576.0,1.0,1087.62
2006-06-01 10:24:00,1086.6,1087.05,1086.6,1087.14,5525400.0,34984704.0,1.0,1087.57
2006-06-01 10:25:00,1086.71,1086.34,1085.98,1086.81,5806500.0,33332224.0,1.0,1087.05
2006-06-01 10:26:00,1086.63,1086.47,1085.79,1086.64,4962000.0,36880384.0,1.0,1086.34
2006-06-01 10:27:00,1085.77,1086.31,1085.58,1086.31,5110500.0,34121216.0,1.0,1086.47
2006-06-01 10:28:00,1086.09,1087.18,1085.92,1087.18,4336700.0,35364608.0,1.0,1086.31
2006-06-01 10:29:00,1086.78,1087.65,1086.61,1087.65,5209000.0,30690816.0,1.0,1087.18
2006-06-01 10:30:00,1087.37,1088.03,1087.37,1088.1,5704700.0,40038912.0,1.0,1087.65
2006-06-01 10:31:00,1088.13,1088.93,1088.13,1089.13,7682600.0,35959296.0,1.0,1088.03
2006-06-01 10:32:00,1089.05,1089.68,1088.28,1089.68,7591700.0,43078912.0,1.0,1088.93
2006-06-01 10:33:00,1090.03,1089.92,1089.41,1090.03,4983300.0,47087360.0,1.0,1089.68
2006-06-01 10:34:00,1089.92,1089.38,1089.37,1089.92,5612700.0,26713600.0,1.0,1089.92
2006-06-01 10:35:00,1089.39,1089.33,1089.21,1089.9,5500400.0,31279872.0,1.0,1089.38
2006-06-01 10:36:00,1089.78,1089.74,1089.19,1089.9,5637700.0,32062208.0,1.0,1089.33
2006-06-01 10:37:00,1089.87,1089.68,1089.56,1089.97,5965400.0,36761600.0,1.0,1089.74
2006-06-01 10:38:00,1090.11,1090.22,1090.07,1090.86,4937500.0,33383936.0,1.0,1089.68
2006-06-01 10:39:00,1090.63,1090.63,1090.33,1090.91,3933400.0,29807872.0,1.0,1090.22
2006-06-01 10:40:00,1090.88,1090.69,1090.26,1090.88,6506400.0,23832320.0,1.0,1090.63
2006-06-01 10:41:00,1090.83,1090.54,1090.41,1091.07,7034200.0,40235776.0,1.0,1090.69
2006-06-01 10:42:00,1090.59,1090.64,1090.48,1091.2,6933200.0,44316416.0,1.0,1090.54
2006-06-01 10:43:00,1090.8,1090.62,1090.48,1091.15,6590400.0,36997632.0,1.0,1090.64
2006-06-01 10:44:00,1090.59,1090.58,1090.53,1090.98,6273700.0,38945536.0,1.0,1090.62
2006-06-01 10:45:00,1090.66,1090.51,1090.51,1090.99,6096600.0,34396160.0,1.0,1090.58
2006-06-01 10:46:00,1090.65,1090.78,1090.52,1091.03,5983600.0,32739328.0,1.0,1090.51
2006-06-01 10:47:00,1090.97,1091.13,1090.56,1091.13,6014300.0,30024192.0,1.0,1090.78
2006-06-01 10:48:00,1090.56,1090.83,1090.56,1091.05,4972400.0,33851648.0,1.0,1091.13
2006-06-01 10:49:00,1091.42,1090.86,1090.72,1091.42,5515000.0,30041856.0,1.0,1090.83
2006-06-01 10:50:00,1091.37,1091.52,1091.22,1091.89,7218700.0,31387136.0,1.0,1090.86
2006-06-01 10:51:00,1091.9,1091.86,1091.6,1091.99,6569700.0,41550592.0,1.0,1091.52
2006-06-01 10:52:00,1091.98,1092.38,1091.69,1092.38,7219700.0,36383232.0,1.0,1091.86
2006-06-01 10:53:00,1092.76,1093.28,1092.64,1093.28,8185000.0,43162624.0,1.0,1092.38
2006-06-01 10:54:00,1093.15,1094.27,1093.15,1094.27,7216400.0,48377600.0,1.0,1093.28
2006-06-01 10:55:00,1094.32,1094.79,1094.06,1095.06,10324600.0,45157120.0,1.0,1094.27
2006-06-01 10:56:00,1094.88,1095.76,1094.88,1095.76,11194900.0,61085696.0,1.0,1094.79
2006-06-01 10:57:00,1095.45,1096.27,1095.45,1096.33,10057500.0,57175552.0,1.0,1095.76
2006-06-01 10:58:00,1096.32,1097.33,1096.32,1097.33,10262000.0,58627584.0,1.0,1096.27
2006-06-01 10:59:00,1097.2,1098.65,1097.2,1098.65,14218300.0,61506560.0,1.0,1097.33
2006-06-01 11:00:00,1098.86,1099.19,1098.77,1099.46,9732700.0,87994368.0,1.0,1098.65
2006-06-01 11:01:00,1099.42,1099.02,1098.61,1099.63,10772900.0,62804480.0,1.0,1099.19
2006-06-01 11:02:00,1098.75,1099.1,1098.75,1099.38,10239300.0,69538816.0,1.0,1099.02
2006-06-01 11:03:00,1098.98,1099.37,1098.79,1099.37,9833300.0,68045824.0,1.0,1099.1
2006-06-01 11:04:00,1099.16,1099.38,1099.1,1099.79,8602400.0,60950528.0,1.0,1099.37
2006-06-01 11:05:00,1099.66,1098.81,1098.75,1099.66,6824200.0,52099328.0,1.0,1099.38
2006-06-01 11:06:00,1099.13,1098.46,1098.46,1099.13,7715300.0,46725632.0,1.0,1098.81
2006-06-01 11:07:00,1098.89,1098.18,1098.18,1098.89,7425400.0,47425536.0,1.0,1098.46
2006-06-01 11:08:00,1097.97,1098.16,1097.68,1098.16,5431400.0,43769600.0,1.0,1098.18
2006-06-01 11:09:00,1098.13,1097.52,1097.45,1098.21,5379000.0,32771328.0,1.0,1098.16
2006-06-01 11:10:00,1097.81,1097.65,1097.41,1098.05,4903500.0,30754816.0,1.0,1097.52
2006-06-01 11:11:00,1097.98,1098.47,1097.73,1098.47,5277200.0,26103040.0,1.0,1097.65
2006-06-01 11:12:00,1098.33,1098.16,1098.16,1098.69,5514400.0,29879552.0,1.0,1098.47
2006-06-01 11:13:00,1098.14,1099.02,1098.14,1099.08,4555400.0,33460224.0,1.0,1098.16
2006-06-01 11:14:00,1099.27,1099.5,1099.01,1099.82,4957700.0,25034240.0,1.0,1099.02
2006-06-01 11:15:00,1099.72,1099.83,1099.57,1100.18,8979600.0,26057984.0,1.0,1099.5
2006-06-01 11:16:00,1099.95,1100.21,1099.85,1100.46,7018400.0,40595200.0,1.0,1099.83
2006-06-01 11:17:00,1100.58,1100.73,1100.23,1100.86,8211200.0,37941248.0,1.0,1100.21
2006-06-01 11:18:00,1100.92,1101.04,1100.66,1101.17,8678000.0,50463744.0,1.0,1100.73
2006-06-01 11:19:00,1101.05,1101.44,1100.43,1101.44,9455600.0,45923840.0,1.0,1101.04
2006-06-01 11:20:00,1101.37,1101.35,1100.99,1101.46,7535600.0,44830208.0,1.0,1101.44
2006-06-01 11:21:00,1101.45,1101.8,1101.1,1102.11,6550100.0,36763136.0,1.0,1101.35
2006-06-01 11:22:00,1101.58,1101.72,1101.42,1101.79,4630200.0,37016064.0,1.0,1101.8
2006-06-01 11:23:00,1102.02,1101.33,1101.33,1102.02,5996300.0,30126080.0,1.0,1101.72
2006-06-01 11:24:00,1101.46,1101.93,1101.46,1101.93,7659100.0,32376320.0,1.0,1101.33
2006-06-01 11:25:00,1102.03,1101.76,1101.44,1102.03,5628900.0,35820032.0,1.0,1101.93
2006-06-01 11:26:00,1101.62,1101.57,1101.34,1101.75,4249000.0,26915328.0,1.0,1101.76
2006-06-01 11:27:00,1101.41,1101.96,1101.29,1101.96,4994300.0,24487936.0,1.0,1101.57
2006-06-01 11:28:00,1102.05,1101.98,1101.69,1102.37,6565500.0,25844224.0,1.0,1101.96
2006-06-01 11:29:00,1102.2,1102.43,1102.01,1102.43,3673000.0,33150976.0,1.0,1101.98
2006-06-01 11:30:00,1102.46,1102.74,1102.31,1102.74,4057700.0,43740672.0,1.0,1102.43
2006-06-01 13:01:00,1103.71,1104.8,1103.71,1104.91,29700900.0,87865614493.0,1.0,1102.74
2006-06-01 13:02:00,1105.07,1105.5,1105.07,1105.75,8022800.0,172755456.0,1.0,1104.8
2006-06-01 13:03:00,1105.98,1105.91,1105.86,1106.29,7555700.0,46705152.0,1.0,1105.5
2006-06-01 13:04:00,1105.89,1106.73,1105.89,1106.73,11627400.0,50532864.0,1.0,1105.91
2006-06-01 13:05:00,1106.73,1107.01,1106.51,1107.01,7944200.0,78394880.0,1.0,1106.73
2006-06-01 13:06:00,1106.63,1107.0,1106.4,1107.13,7506100.0,46620672.0,1.0,1107.01
2006-06-01 13:07:00,1107.01,1106.98,1106.5,1107.01,8156900.0,43737088.0,1.0,1107.0
2006-06-01 13:08:00,1106.79,1106.13,1105.97,1106.79,7803900.0,55648768.0,1.0,1106.98
2006-06-01 13:09:00,1106.59,1106.23,1105.56,1106.59,6455700.0,53634048.0,1.0,1106.13
2006-06-01 13:10:00,1106.38,1106.13,1105.41,1106.44,8625700.0,46449152.0,1.0,1106.23
2006-06-01 13:11:00,1106.01,1105.76,1105.36,1106.06,6486700.0,50843136.0,1.0,1106.13
2006-06-01 13:12:00,1105.6,1104.99,1104.97,1105.99,8350100.0,40228864.0,1.0,1105.76
2006-06-01 13:13:00,1105.3,1104.84,1104.66,1105.41,4251600.0,55943680.0,1.0,1104.99
2006-06-01 13:14:00,1104.64,1104.6,1104.52,1105.04,6781800.0,26821120.0,1.0,1104.84
2006-06-01 13:15:00,1104.74,1104.07,1103.98,1104.74,6014900.0,39524352.0,1.0,1104.6
2006-06-01 13:16:00,1104.09,1103.53,1103.53,1104.26,8498600.0,34689024.0,1.0,1104.07
2006-06-01 13:17:00,1103.85,1103.8,1103.26,1103.85,3425900.0,40745984.0,1.0,1103.53
2006-06-01 13:18:00,1103.19,1103.15,1103.15,1103.74,5110700.0,21639168.0,1.0,1103.8
2006-06-01 13:19:00,1103.62,1103.81,1103.17,1103.81,6159800.0,32111616.0,1.0,1103.15
2006-06-01 13:20:00,1103.08,1103.5,1102.92,1103.7,5944500.0,38584832.0,1.0,1103.81
2006-06-01 13:21:00,1103.16,1103.03,1103.01,1103.4,5592700.0,41295360.0,1.0,1103.5
2006-06-01 13:22:00,1103.6,1103.16,1103.12,1103.6,5742400.0,35875840.0,1.0,1103.03
2006-06-01 13:23:00,1103.19,1103.23,1103.1,1103.62,4275900.0,38589952.0,1.0,1103.16
2006-06-01 13:24:00,1102.99,1103.59,1102.99,1103.59,6233000.0,28700672.0,1.0,1103.23
2006-06-01 13:25:00,1103.28,1103.22,1103.22,1103.47,5865300.0,35713024.0,1.0,1103.59
2006-06-01 13:26:00,1103.31,1102.8,1102.65,1103.43,10339500.0,41504768.0,1.0,1103.22
2006-06-01 13:27:00,1103.09,1102.21,1102.21,1103.09,7825200.0,77794304.0,1.0,1102.8
2006-06-01 13:28:00,1102.4,1102.33,1102.11,1102.53,6164500.0,36177920.0,1.0,1102.21
2006-06-01 13:29:00,1102.24,1101.7,1101.57,1102.24,7591000.0,34937344.0,1.0,1102.33
2006-06-01 13:30:00,1101.25,1100.91,1100.78,1101.46,8149200.0,43465216.0,1.0,1101.7
2006-06-01 13:31:00,1100.91,1100.37,1100.07,1100.91,6482300.0,54977536.0,1.0,1100.91
2006-06-01 13:32:00,1100.32,1099.51,1099.51,1100.32,5492500.0,38879744.0,1.0,1100.37
2006-06-01 13:33:00,1099.53,1099.44,1099.44,1099.98,6772000.0,36869120.0,1.0,1099.51
2006-06-01 13:34:00,1099.8,1099.79,1099.39,1100.02,5809600.0,41455616.0,1.0,1099.44
2006-06-01 13:35:00,1099.85,1100.09,1099.47,1100.09,3505800.0,33014272.0,1.0,1099.79
2006-06-01 13:36:00,1100.13,1099.98,1099.51,1100.29,4307900.0,23792640.0,1.0,1100.09
2006-06-01 13:37:00,1099.96,1100.64,1099.88,1100.69,5740300.0,27979776.0,1.0,1099.98
2006-06-01 13:38:00,1100.82,1101.42,1100.46,1101.42,5208100.0,38668288.0,1.0,1100.64
2006-06-01 13:39:00,1101.22,1101.75,1101.07,1101.75,5099800.0,54252544.0,1.0,1101.42
2006-06-01 13:40:00,1101.52,1102.29,1101.52,1102.29,5575000.0,36899840.0,1.0,1101.75
2006-06-01 13:41:00,1101.88,1101.65,1101.46,1102.39,6599800.0,50610688.0,1.0,1102.29
2006-06-01 13:42:00,1101.62,1102.57,1101.62,1102.57,5001900.0,59434496.0,1.0,1101.65
2006-06-01 13:43:00,1102.47,1102.79,1102.33,1102.79,5565700.0,33425920.0,1.0,1102.57
2006-06-01 13:44:00,1103.0,1103.38,1102.83,1103.38,7576200.0,39345664.0,1.0,1102.79
2006-06-01 13:45:00,1102.81,1102.99,1102.74,1103.42,5749200.0,40006144.0,1.0,1103.38
2006-06-01 13:46:00,1102.91,1102.65,1102.65,1103.23,6649500.0,43764224.0,1.0,1102.99
2006-06-01 13:47:00,1102.62,1102.43,1102.43,1103.08,5132900.0,49049088.0,1.0,1102.65
2006-06-01 13:48:00,1102.38,1102.52,1102.28,1103.02,3299400.0,45980672.0,1.0,1102.43
2006-06-01 13:49:00,1102.47,1102.5,1102.34,1102.89,4630300.0,27495424.0,1.0,1102.52
2006-06-01 13:50:00,1102.73,1102.54,1102.45,1103.04,4353900.0,42956800.0,1.0,1102.5
2006-06-01 13:51:00,1102.56,1102.38,1102.3,1102.92,5647400.0,35322880.0,1.0,1102.54
2006-06-01 13:52:00,1102.74,1102.29,1102.24,1102.74,7081700.0,42333184.0,1.0,1102.38
2006-06-01 13:53:00,1102.34,1102.17,1102.17,1102.69,4850500.0,64988672.0,1.0,1102.29
2006-06-01 13:54:00,1102.56,1102.64,1102.26,1102.72,5903700.0,39237120.0,1.0,1102.17
2006-06-01 13:55:00,1102.81,1103.52,1102.74,1103.52,6681300.0,38121984.0,1.0,1102.64
2006-06-01 13:56:00,1103.23,1103.48,1103.0,1103.65,6257100.0,30080000.0,1.0,1103.52
2006-06-01 13:57:00,1103.46,1103.68,1103.46,1103.8,6390900.0,34136576.0,1.0,1103.48
2006-06-01 13:58:00,1103.48,1103.77,1103.48,1103.8,6008700.0,40656384.0,1.0,1103.68
