,open,close,high,low,volume,money
2005-01-04 10:00:00,3051.24,3041.69,3051.236,3021.097,101853200.0,499703354.0
2005-01-04 10:30:00,3041.69,3041.36,3049.343,3038.549,54040100.0,278468032.0
2005-01-04 11:00:00,3040.76,3038.34,3040.764,3033.547,53637000.0,256823872.0
2005-01-04 11:30:00,3038.26,3048.61,3049.642,3036.062,47066000.0,239112640.0
2005-01-04 13:30:00,3049.22,3028.87,3049.217,3028.145,54402600.0,253144060.0
2005-01-04 14:00:00,3029.2,3017.37,3034.053,3016.264,67966600.0,321780224.0
2005-01-04 14:30:00,3017.78,3021.73,3022.756,3017.784,47031700.0,241287296.0
2005-01-04 15:00:00,3020.9,3025.42,3027.2,3020.627,82709000.0,433811328.0
2005-01-05 10:00:00,3020.72,3029.94,3039.444,3017.342,67191100.0,304015808.0
2005-01-05 10:30:00,3029.2,3024.38,3034.283,3023.928,58119200.0,306177468.0
2005-01-05 11:00:00,3023.16,3039.64,3039.641,3018.618,91228700.0,436200196.0
2005-01-05 11:30:00,3039.59,3061.53,3067.674,3038.16,124015500.0,664387202.0
2005-01-05 13:30:00,3062.36,3046.88,3063.783,3046.879,53611800.0,289800446.0
2005-01-05 14:00:00,3047.07,3040.44,3049.385,3038.433,52451200.0,282558464.0
2005-01-05 14:30:00,3041.26,3039.17,3045.123,3038.897,55159300.0,295846654.0
2005-01-05 15:00:00,3038.84,3052.86,3053.598,3038.791,97981500.0,504186878.0
2005-01-06 10:00:00,3054.1,3039.45,3054.099,3039.455,73468400.0,364226176.0
2005-01-06 10:30:00,3039.01,3029.37,3039.012,3028.666,57829200.0,288241408.0
2005-01-06 11:00:00,3029.13,3034.36,3036.535,3028.7,53241600.0,277557632.0
2005-01-06 11:30:00,3035.56,3038.94,3044.473,3035.563,47993000.0,245877504.0
2005-01-06 13:30:00,3038.9,3020.11,3038.899,3020.114,50780400.0,258322172.0
2005-01-06 14:00:00,3019.03,3024.08,3025.08,3017.025,55418100.0,292170236.0
2005-01-06 14:30:00,3023.89,3022.66,3024.114,3016.151,65475500.0,368104448.0
2005-01-06 15:00:00,3023.1,3028.73,3030.736,3018.973,95839100.0,515549188.0
2005-01-07 10:00:00,3028.69,3024.76,3033.937,3023.378,58121000.0,333965984.0
2005-01-07 10:30:00,3023.38,3034.59,3034.595,3019.066,58872900.0,344778656.0
2005-01-07 11:00:00,3034.14,3057.84,3064.906,3031.806,117276000.0,664171716.0
2005-01-07 11:30:00,3058.49,3056.45,3060.231,3050.347,66084900.0,371617920.0
2005-01-07 13:30:00,3055.84,3053.7,3057.32,3050.948,50201300.0,279469948.0
2005-01-07 14:00:00,3053.54,3045.43,3053.544,3042.501,58559900.0,314979328.0
2005-01-07 14:30:00,3044.81,3030.12,3044.887,3028.324,67991100.0,402283776.0
2005-01-07 15:00:00,3029.56,3035.59,3037.03,3022.614,100695700.0,546599678.0
2005-01-10 10:00:00,3032.84,3021.66,3032.843,3018.487,77548400.0,403346911.0
2005-01-10 10:30:00,3021.89,3027.6,3031.021,3021.541,62206900.0,339922784.0
2005-01-10 11:00:00,3027.83,3036.11,3036.111,3022.454,58958100.0,300604096.0
2005-01-10 11:30:00,3034.93,3038.87,3042.242,3034.338,58438800.0,313154048.0
2005-01-10 13:30:00,3039.13,3035.57,3040.388,3034.929,40779700.0,222222718.0
2005-01-10 14:00:00,3035.64,3050.72,3051.498,3035.307,52970400.0,274290304.0
2005-01-10 14:30:00,3050.86,3059.89,3062.001,3050.414,75401200.0,410112256.0
2005-01-10 15:00:00,3059.91,3062.73,3063.286,3053.535,93108000.0,495592186.0
