,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额
114,sh000130,380波动,9987.1475,82.753,0.836,9904.3946,9916.8991,9990.2503,9906.876,31268957,18885140892
115,sh000131,上证高新,2134.2248,-13.079,-0.609,2147.3043,2143.3177,2143.3177,2124.9924,7144978,14768425218
116,sh000132,上证100,7998.7331,120.208,1.526,7878.5251,7871.9323,8012.4321,7857.0449,18477339,37303546523
117,sh000133,上证150,5463.5345,104.31,1.946,5359.2241,5371.6172,5468.6839,5345.9197,10169297,17337507513
118,sh000134,上证银行,794.1297,3.548,0.449,790.5818,791.1865,798.3541,787.6864,14137135,11084339850
119,sh000135,180高贝,7371.7956,120.13,1.657,7251.6657,7240.0267,7392.876,7238.2565,55681074,124056136075
120,sh000136,180低贝,10277.1666,114.298,1.125,10162.8685,10181.9691,10299.2065,10175.0584,67013028,44376045854
121,sh000137,380高贝,6144.2542,49.024,0.804,6095.23,6076.964,6161.7534,6044.8021,28446103,66873727448
122,sh000138,380低贝,6011.7542,62.061,1.043,5949.6928,5962.1415,6013.0232,5957.6586,28615756,17403479279
123,sh000139,上证转债,349.4495,2.013,0.579,347.4365,347.9466,349.5538,347.9466,14378138,26283616752
124,sh000141,380动态,4491.506,50.241,1.131,4441.2646,4435.6242,4497.2504,4421.8402,43958490,86013409220
125,sh000142,380稳定,8526.0625,56.811,0.671,8469.2516,8478.6284,8533.1381,8470.9256,46568331,41555649101
126,sh000145,优势资源,5566.4348,137.073,2.525,5429.3616,5459.3504,5632.4895,5459.3504,42378665,64807174591
127,sh000146,优势制造,10381.8484,107.762,1.049,10274.0868,10225.6076,10408.8427,10183.244,28585271,70969084597
128,sh000147,优势消费,9727.673,118.325,1.231,9609.3481,9644.7948,9760.5878,9591.8387,6424515,38545060872
129,sh000148,消费领先,10734.5071,150.883,1.426,10583.6243,10624.0002,10756.7061,10606.4402,33056816,100104710460
130,sh000149,180红利,3102.0129,18.533,0.601,3083.4803,3088.426,3115.3421,3087.8755,17547925,16511662664
131,sh000150,380红利,9780.8817,123.454,1.278,9657.428,9717.7962,9808.3521,9670.0195,9915182,9584607446
132,sh000151,上国红利,1192.7955,6.047,0.51,1186.7485,1195.2212,1197.7634,1182.5792,15989288,11166756108
133,sh000152,上央红利,2035.833,16.983,0.841,2018.8504,2024.5068,2041.4265,2018.1114,17937689,15583575746
134,sh000153,上民红利,3095.0784,70.23,2.322,3024.8488,3023.9519,3106.4786,3023.1003,8233449,13231526886
135,sh000155,市值百强,3261.2914,40.912,1.27,3220.3791,3226.1601,3274.3667,3224.7876,74698673,190266547258
136,sh000158,上证环保,2302.3672,54.092,2.406,2248.2749,2255.349,2319.4083,2253.2601,20305157,46748279670
137,sh000159,沪股通,3641.0315,44.509,1.238,3596.5227,3601.374,3651.0514,3599.7577,248849990,395911089750
138,sh000160,沪新丝路,1873.5443,8.922,0.478,1864.6225,1869.8873,1880.9397,1865.9763,74988936,59399215317
139,sh000161,沪中国造,2370.4187,6.779,0.287,2363.6396,2354.7319,2374.4259,2345.0164,70289245,163539455881
140,sh000162,沪互联+,3364.6017,12.776,0.381,3351.8253,3352.0733,3370.5222,3342.4025,20754529,52215456311
141,sh000170,50AH优选,5814.7127,77.967,1.359,5736.7462,5758.2782,5841.7061,5753.8487,22602888,84670252573
142,sh000171,新兴成指,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
143,sh000188,中国波指,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
144,sh000300,沪深300,4888.3902,52.512,1.086,4835.8782,4844.5925,4906.2036,4842.7476,197883163,417481426158
145,sh000682,科创信息,1725.8845,4.165,0.242,1721.7197,1721.9541,1735.0999,1703.0528,1970273,16610498063
146,sh000688,科创50,1578.0306,13.92,0.89,1564.1108,1567.6996,1586.5219,1550.8781,11717098,69500388700
147,sh000802,500沪市,7422.6371,60.646,0.824,7361.9915,7359.8668,7429.029,7345.9051,102379799,115781898816
148,sh000805,A股资源,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
149,sh000806,消费服务,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
150,sh000807,食品饮料,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
